review,sentiment,dish
Nice ambiance for a casual dinner. The lighting is warm and the music is at the right volume. Food was decent but nothing extraordinary. The chocolate mousse dessert was the highlight of the meal.,neutral,dessert
Outstanding service and food quality! The staff remembered our preferences from previous visits. The seasonal menu changes keep things interesting. The chef even came out to check on our meal. Truly exceptional dining experience.,positive,general
The avocado toast was perfectly seasoned with fresh ingredients. Great presentation and the bread was artisanal quality. Coffee was excellent too. Perfect spot for a healthy breakfast.,positive,coffee
Penne pomodoro was authentic Italian style with rich tomato sauce and fresh basil. Pasta was cooked al dente perfectly. The portion was generous and reasonably priced.,positive,pasta
"Hot chocolate was absolutely divine! Rich, creamy, and the perfect temperature. Best hot chocolate I have had in Coimbatore. The marshmallows were a nice touch.",positive,general
Sticky toffee pudding was incredible! Moist cake with rich toffee sauce and vanilla ice cream. Perfect end to our meal. Definitely coming back just for this dessert.,positive,dessert
Beautiful cozy space with French cafe vibes. The interior design is thoughtful and creates a warm atmosphere. Great for both casual meals and special occasions.,positive,general
Love their seafood pasta - Fresh and aromatic Great place for breakfast.,positive,pasta
Amazing chocolate mousse with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,dessert
Good chicken sandwich with generous portion. Service could be improved but food was satisfactory.,neutral,burger
Amazing salmon with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,general
Good carbonara with fresh ingredients. Service could be improved but food was satisfactory.,neutral,pasta
Disappointed with the carbonara. took too long to arrive Expected better quality.,negative,pasta
Average sticky toffee pudding for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,dessert
Outstanding salmon with fresh ingredients. The service was prompt and professional.,positive,general
Average veggie burger for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,burger
The chicken sandwich was cold. Service was slow and service was slow.,negative,burger
Disappointed with the wine. portion was small Expected better quality.,negative,general
Love their veggie burger - Fresh and aromatic Great place for lunch.,positive,burger
Excellent avocado toast! Fresh and aromatic Will definitely come back for more.,positive,bread
Amazing margherita pizza with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,pizza
Love their salmon - Fresh and aromatic Great place for breakfast.,positive,general
Poor quality margherita pizza. portion was small Would not recommend.,negative,pizza
Excellent quinoa salad! Cooked to perfection Will definitely come back for more.,positive,salad
The chocolate lava cake was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,dessert
Amazing chocolate lava cake with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding salmon with authentic taste. The service was prompt and professional.,positive,general
Outstanding penne pomodoro with great presentation. The service was prompt and professional.,positive,pasta
Good seafood pasta with perfect seasoning. Service could be improved but food was satisfactory.,neutral,pasta
The wine was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,general
Amazing veggie burger with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,burger
The seafood pasta was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pasta
Excellent veggie burger! Rich and flavorful Will definitely come back for more.,positive,burger
Excellent hot chocolate! Rich and flavorful Will definitely come back for more.,positive,general
Amazing pancakes with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
Average salmon for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,general
Outstanding chocolate lava cake with great presentation. The service was prompt and professional.,positive,dessert
The coffee was overcooked. Service was slow and portion was small.,negative,coffee
Love their coffee - Fresh and aromatic Great place for dinner.,positive,coffee
Average avocado toast for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,bread
The coffee was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,coffee
Good tiramisu with perfect seasoning. Service could be improved but food was satisfactory.,neutral,dessert
Good eggs benedict with great presentation. Service could be improved but food was satisfactory.,neutral,general
Love their avocado toast - Cooked to perfection Great place for dinner.,positive,bread
The eggs benedict was cold. Service was slow and took too long to arrive.,negative,general
Poor quality quinoa salad. took too long to arrive Would not recommend.,negative,salad
Excellent salmon! Rich and flavorful Will definitely come back for more.,positive,general
Average chocolate lava cake for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,dessert
Excellent french onion soup! Authentic preparation Will definitely come back for more.,positive,soup
Amazing veggie burger with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,burger
Outstanding quinoa salad with fresh ingredients. The service was prompt and professional.,positive,salad
Excellent seafood pasta! Rich and flavorful Will definitely come back for more.,positive,pasta
The avocado toast was decent but was a bit cold. Overall okay experience.,neutral,bread
Outstanding quinoa salad with generous portion. The service was prompt and professional.,positive,salad
The croissants was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,bread
The veggie burger was absolutely delicious! Authentic preparation Highly recommend this place.,positive,burger
Amazing chocolate lava cake with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,dessert
Poor quality pancakes. took too long to arrive Would not recommend.,negative,dessert
Disappointed with the seafood pasta. was a bit cold Expected better quality.,negative,pasta
Outstanding chocolate mousse with generous portion. The service was prompt and professional.,positive,dessert
Excellent chocolate mousse! Cooked to perfection Will definitely come back for more.,positive,dessert
The sticky toffee pudding was decent but service was slow. Overall okay experience.,neutral,dessert
The coffee was underseasoned. Service was slow and was a bit cold.,negative,coffee
Disappointed with the croissants. service was slow Expected better quality.,negative,bread
Amazing chocolate mousse with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding salmon with great presentation. The service was prompt and professional.,positive,general
Poor quality hot chocolate. took too long to arrive Would not recommend.,negative,general
The chocolate lava cake was decent but took too long to arrive. Overall okay experience.,neutral,dessert
Outstanding sticky toffee pudding with fresh ingredients. The service was prompt and professional.,positive,dessert
The salmon was absolutely delicious! Beautifully presented Highly recommend this place.,positive,general
Amazing seafood pasta with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,pasta
Poor quality seafood pasta. portion was small Would not recommend.,negative,pasta
Disappointed with the eggs benedict. took too long to arrive Expected better quality.,negative,general
The veggie burger was cold. Service was slow and portion was small.,negative,burger
Outstanding coffee with perfect seasoning. The service was prompt and professional.,positive,coffee
The tiramisu was decent but service was slow. Overall okay experience.,neutral,dessert
The eggs benedict was decent but portion was small. Overall okay experience.,neutral,general
The wine was decent but took too long to arrive. Overall okay experience.,neutral,general
Average croissants for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,bread
The wine was cold. Service was slow and portion was small.,negative,general
Love their margherita pizza - Fresh and aromatic Great place for brunch.,positive,pizza
Love their seafood pasta - Cooked to perfection Great place for brunch.,positive,pasta
The seafood pasta was decent but service was slow. Overall okay experience.,neutral,pasta
Outstanding eggs benedict with generous portion. The service was prompt and professional.,positive,general
The hot chocolate was decent but service was slow. Overall okay experience.,neutral,general
The penne pomodoro was absolutely delicious! Beautifully presented Highly recommend this place.,positive,pasta
The tiramisu was overcooked. Service was slow and took too long to arrive.,negative,dessert
Good salmon with fresh ingredients. Service could be improved but food was satisfactory.,neutral,general
The margherita pizza was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pizza
Good seafood pasta with generous portion. Service could be improved but food was satisfactory.,neutral,pasta
Amazing tiramisu with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,dessert
Average chocolate lava cake for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,dessert
Excellent croissants! Beautifully presented Will definitely come back for more.,positive,bread
Love their seafood pasta - Beautifully presented Great place for family meal.,positive,pasta
Good veggie burger with great presentation. Service could be improved but food was satisfactory.,neutral,burger
Average salmon for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,general
Good coffee with fresh ingredients. Service could be improved but food was satisfactory.,neutral,coffee
Average croissants for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,bread
Love their margherita pizza - Beautifully presented Great place for lunch.,positive,pizza
Love their sticky toffee pudding - Cooked to perfection Great place for family meal.,positive,dessert
Excellent wine! Cooked to perfection Will definitely come back for more.,positive,general
Amazing hot chocolate with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,general
Excellent croissants! Cooked to perfection Will definitely come back for more.,positive,bread
Excellent hot chocolate! Rich and flavorful Will definitely come back for more.,positive,general
Excellent penne pomodoro! Fresh and aromatic Will definitely come back for more.,positive,pasta
Love their pancakes - Beautifully presented Great place for breakfast.,positive,dessert
The croissants was overcooked. Service was slow and took too long to arrive.,negative,bread
Love their wine - Cooked to perfection Great place for family meal.,positive,general
Outstanding wine with authentic taste. The service was prompt and professional.,positive,general
Love their carbonara - Authentic preparation Great place for brunch.,positive,pasta
Outstanding tiramisu with generous portion. The service was prompt and professional.,positive,dessert
Amazing sticky toffee pudding with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,dessert
The penne pomodoro was cold. Service was slow and portion was small.,negative,pasta
Average carbonara for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,pasta
Average coffee for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,coffee
Amazing chocolate mousse with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding salmon with authentic taste. The service was prompt and professional.,positive,general
Love their tiramisu - Authentic preparation Great place for family meal.,positive,dessert
Excellent eggs benedict! Rich and flavorful Will definitely come back for more.,positive,general
The salmon was absolutely delicious! Authentic preparation Highly recommend this place.,positive,general
The salmon was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,general
The margherita pizza was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pizza
Disappointed with the salmon. service was slow Expected better quality.,negative,general
Poor quality coffee. service was slow Would not recommend.,negative,coffee
The eggs benedict was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,general
Amazing eggs benedict with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,general
The penne pomodoro was decent but service was slow. Overall okay experience.,neutral,pasta
Average penne pomodoro for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,pasta
Love their salmon - Rich and flavorful Great place for date night.,positive,general
Love their coffee - Fresh and aromatic Great place for dinner.,positive,coffee
Poor quality hot chocolate. took too long to arrive Would not recommend.,negative,general
Good margherita pizza with perfect seasoning. Service could be improved but food was satisfactory.,neutral,pizza
The french onion soup was decent but portion was small. Overall okay experience.,neutral,soup
The chocolate lava cake was decent but portion was small. Overall okay experience.,neutral,dessert
Disappointed with the eggs benedict. took too long to arrive Expected better quality.,negative,general
The penne pomodoro was decent but portion was small. Overall okay experience.,neutral,pasta
Disappointed with the sticky toffee pudding. portion was small Expected better quality.,negative,dessert
The hot chocolate was decent but was a bit cold. Overall okay experience.,neutral,general
The avocado toast was too salty. Service was slow and service was slow.,negative,bread
Outstanding carbonara with generous portion. The service was prompt and professional.,positive,pasta
The french onion soup was decent but took too long to arrive. Overall okay experience.,neutral,soup
Excellent eggs benedict! Authentic preparation Will definitely come back for more.,positive,general
Good coffee with generous portion. Service could be improved but food was satisfactory.,neutral,coffee
Excellent chocolate mousse! Fresh and aromatic Will definitely come back for more.,positive,dessert
Excellent salmon! Beautifully presented Will definitely come back for more.,positive,general
Love their coffee - Beautifully presented Great place for lunch.,positive,coffee
Amazing french onion soup with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,soup
Excellent avocado toast! Rich and flavorful Will definitely come back for more.,positive,bread
Excellent chicken sandwich! Rich and flavorful Will definitely come back for more.,positive,burger
The quinoa salad was decent but service was slow. Overall okay experience.,neutral,salad
Amazing salmon with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,general
Excellent chicken sandwich! Fresh and aromatic Will definitely come back for more.,positive,burger
Outstanding eggs benedict with fresh ingredients. The service was prompt and professional.,positive,general
Average tiramisu for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,dessert
Amazing avocado toast with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,bread
Outstanding chicken sandwich with generous portion. The service was prompt and professional.,positive,burger
The seafood pasta was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pasta
Outstanding coffee with great presentation. The service was prompt and professional.,positive,coffee
The salmon was decent but portion was small. Overall okay experience.,neutral,general
Love their chicken sandwich - Cooked to perfection Great place for family meal.,positive,burger
Amazing veggie burger with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,burger
Amazing veggie burger with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,burger
Amazing margherita pizza with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,pizza
Love their croissants - Authentic preparation Great place for brunch.,positive,bread
The carbonara was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,pasta
The carbonara was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pasta
Love their salmon - Beautifully presented Great place for family meal.,positive,general
Amazing french onion soup with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,soup
The margherita pizza was decent but took too long to arrive. Overall okay experience.,neutral,pizza
Outstanding veggie burger with fresh ingredients. The service was prompt and professional.,positive,burger
Poor quality margherita pizza. service was slow Would not recommend.,negative,pizza
Outstanding margherita pizza with perfect seasoning. The service was prompt and professional.,positive,pizza
Outstanding french onion soup with great presentation. The service was prompt and professional.,positive,soup
Amazing seafood pasta with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,pasta
The tiramisu was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
Average margherita pizza for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,pizza
Amazing chocolate lava cake with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
The pancakes was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,dessert
Excellent carbonara! Fresh and aromatic Will definitely come back for more.,positive,pasta
Love their tiramisu - Beautifully presented Great place for brunch.,positive,dessert
Love their chocolate lava cake - Beautifully presented Great place for breakfast.,positive,dessert
The sticky toffee pudding was underseasoned. Service was slow and portion was small.,negative,dessert
The carbonara was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pasta
Poor quality veggie burger. service was slow Would not recommend.,negative,burger
Outstanding french onion soup with fresh ingredients. The service was prompt and professional.,positive,soup
Good pancakes with perfect seasoning. Service could be improved but food was satisfactory.,neutral,dessert
The penne pomodoro was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pasta
The chocolate mousse was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
The coffee was decent but took too long to arrive. Overall okay experience.,neutral,coffee
Love their margherita pizza - Fresh and aromatic Great place for breakfast.,positive,pizza
Outstanding tiramisu with fresh ingredients. The service was prompt and professional.,positive,dessert
Average carbonara for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,pasta
Average french onion soup for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,soup
Average eggs benedict for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,general
Excellent penne pomodoro! Fresh and aromatic Will definitely come back for more.,positive,pasta
Love their chocolate lava cake - Authentic preparation Great place for brunch.,positive,dessert
Amazing french onion soup with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,soup
Good carbonara with generous portion. Service could be improved but food was satisfactory.,neutral,pasta
Love their seafood pasta - Rich and flavorful Great place for dinner.,positive,pasta
The salmon was underseasoned. Service was slow and took too long to arrive.,negative,general
Average penne pomodoro for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,pasta
The sticky toffee pudding was decent but portion was small. Overall okay experience.,neutral,dessert
The avocado toast was decent but service was slow. Overall okay experience.,neutral,bread
Excellent penne pomodoro! Beautifully presented Will definitely come back for more.,positive,pasta
The croissants was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,bread
The penne pomodoro was decent but took too long to arrive. Overall okay experience.,neutral,pasta
Outstanding croissants with perfect seasoning. The service was prompt and professional.,positive,bread
The carbonara was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pasta
Love their veggie burger - Cooked to perfection Great place for family meal.,positive,burger
Love their quinoa salad - Cooked to perfection Great place for brunch.,positive,salad
The hot chocolate was decent but took too long to arrive. Overall okay experience.,neutral,general
Love their margherita pizza - Fresh and aromatic Great place for breakfast.,positive,pizza
Excellent croissants! Fresh and aromatic Will definitely come back for more.,positive,bread
Outstanding tiramisu with great presentation. The service was prompt and professional.,positive,dessert
Excellent croissants! Cooked to perfection Will definitely come back for more.,positive,bread
Excellent penne pomodoro! Rich and flavorful Will definitely come back for more.,positive,pasta
The carbonara was decent but was a bit cold. Overall okay experience.,neutral,pasta
Love their salmon - Rich and flavorful Great place for family meal.,positive,general
Average croissants for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,bread
Poor quality french onion soup. service was slow Would not recommend.,negative,soup
The sticky toffee pudding was absolutely delicious! Authentic preparation Highly recommend this place.,positive,dessert
Excellent sticky toffee pudding! Cooked to perfection Will definitely come back for more.,positive,dessert
The chicken sandwich was decent but service was slow. Overall okay experience.,neutral,burger
Excellent wine! Fresh and aromatic Will definitely come back for more.,positive,general
Disappointed with the margherita pizza. took too long to arrive Expected better quality.,negative,pizza
The french onion soup was decent but took too long to arrive. Overall okay experience.,neutral,soup
Outstanding avocado toast with generous portion. The service was prompt and professional.,positive,bread
Good chocolate mousse with fresh ingredients. Service could be improved but food was satisfactory.,neutral,dessert
Amazing sticky toffee pudding with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding veggie burger with fresh ingredients. The service was prompt and professional.,positive,burger
Good pancakes with authentic taste. Service could be improved but food was satisfactory.,neutral,dessert
The coffee was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,coffee
Average chocolate mousse for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,dessert
Average tiramisu for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,dessert
The penne pomodoro was decent but portion was small. Overall okay experience.,neutral,pasta
Excellent chocolate mousse! Fresh and aromatic Will definitely come back for more.,positive,dessert
Good chocolate lava cake with generous portion. Service could be improved but food was satisfactory.,neutral,dessert
The hot chocolate was decent but took too long to arrive. Overall okay experience.,neutral,general
Love their wine - Beautifully presented Great place for family meal.,positive,general
Good chocolate mousse with perfect seasoning. Service could be improved but food was satisfactory.,neutral,dessert
The sticky toffee pudding was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,dessert
Average quinoa salad for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,salad
Excellent tiramisu! Beautifully presented Will definitely come back for more.,positive,dessert
Excellent french onion soup! Rich and flavorful Will definitely come back for more.,positive,soup
Average avocado toast for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,bread
Excellent wine! Beautifully presented Will definitely come back for more.,positive,general
Love their eggs benedict - Fresh and aromatic Great place for breakfast.,positive,general
The sticky toffee pudding was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,dessert
Disappointed with the penne pomodoro. was a bit cold Expected better quality.,negative,pasta
The wine was absolutely delicious! Authentic preparation Highly recommend this place.,positive,general
Good chicken sandwich with authentic taste. Service could be improved but food was satisfactory.,neutral,burger
The chocolate lava cake was decent but portion was small. Overall okay experience.,neutral,dessert
Excellent french onion soup! Cooked to perfection Will definitely come back for more.,positive,soup
Outstanding margherita pizza with generous portion. The service was prompt and professional.,positive,pizza
The croissants was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,bread
Outstanding avocado toast with perfect seasoning. The service was prompt and professional.,positive,bread
The avocado toast was decent but portion was small. Overall okay experience.,neutral,bread
Excellent hot chocolate! Cooked to perfection Will definitely come back for more.,positive,general
Amazing quinoa salad with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,salad
Poor quality french onion soup. was a bit cold Would not recommend.,negative,soup
The avocado toast was too salty. Service was slow and service was slow.,negative,bread
Excellent chocolate lava cake! Cooked to perfection Will definitely come back for more.,positive,dessert
Disappointed with the chocolate mousse. took too long to arrive Expected better quality.,negative,dessert
The french onion soup was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,soup
The seafood pasta was decent but portion was small. Overall okay experience.,neutral,pasta
The coffee was decent but took too long to arrive. Overall okay experience.,neutral,coffee
Outstanding carbonara with great presentation. The service was prompt and professional.,positive,pasta
The chocolate lava cake was absolutely delicious! Authentic preparation Highly recommend this place.,positive,dessert
Disappointed with the sticky toffee pudding. portion was small Expected better quality.,negative,dessert
Excellent penne pomodoro! Authentic preparation Will definitely come back for more.,positive,pasta
Average avocado toast for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,bread
The veggie burger was decent but took too long to arrive. Overall okay experience.,neutral,burger
Excellent penne pomodoro! Authentic preparation Will definitely come back for more.,positive,pasta
Average wine for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,general
Excellent avocado toast! Rich and flavorful Will definitely come back for more.,positive,bread
Poor quality sticky toffee pudding. service was slow Would not recommend.,negative,dessert
Disappointed with the chicken sandwich. was a bit cold Expected better quality.,negative,burger
The chocolate lava cake was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,dessert
The eggs benedict was underseasoned. Service was slow and service was slow.,negative,general
Outstanding chicken sandwich with generous portion. The service was prompt and professional.,positive,burger
The coffee was decent but was a bit cold. Overall okay experience.,neutral,coffee
The penne pomodoro was overcooked. Service was slow and was a bit cold.,negative,pasta
Excellent chicken sandwich! Fresh and aromatic Will definitely come back for more.,positive,burger
Outstanding salmon with generous portion. The service was prompt and professional.,positive,general
Excellent quinoa salad! Rich and flavorful Will definitely come back for more.,positive,salad
The seafood pasta was absolutely delicious! Authentic preparation Highly recommend this place.,positive,pasta
Amazing chocolate mousse with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,dessert
The tiramisu was overcooked. Service was slow and service was slow.,negative,dessert
The croissants was underseasoned. Service was slow and was a bit cold.,negative,bread
Poor quality sticky toffee pudding. was a bit cold Would not recommend.,negative,dessert
Amazing avocado toast with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,bread
Amazing quinoa salad with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,salad
Poor quality chocolate mousse. service was slow Would not recommend.,negative,dessert
Outstanding wine with authentic taste. The service was prompt and professional.,positive,general
Poor quality sticky toffee pudding. was a bit cold Would not recommend.,negative,dessert
Amazing french onion soup with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,soup
The french onion soup was overcooked. Service was slow and service was slow.,negative,soup
Amazing avocado toast with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,bread
Outstanding chocolate mousse with generous portion. The service was prompt and professional.,positive,dessert
Excellent chocolate mousse! Authentic preparation Will definitely come back for more.,positive,dessert
The wine was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,general
Disappointed with the hot chocolate. took too long to arrive Expected better quality.,negative,general
The croissants was absolutely delicious! Beautifully presented Highly recommend this place.,positive,bread
Disappointed with the penne pomodoro. portion was small Expected better quality.,negative,pasta
The salmon was overcooked. Service was slow and was a bit cold.,negative,general
The chocolate mousse was decent but was a bit cold. Overall okay experience.,neutral,dessert
The sticky toffee pudding was absolutely delicious! Beautifully presented Highly recommend this place.,positive,dessert
Amazing wine with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,general
Amazing margherita pizza with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,pizza
The coffee was absolutely delicious! Beautifully presented Highly recommend this place.,positive,coffee
Average french onion soup for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,soup
The salmon was decent but portion was small. Overall okay experience.,neutral,general
The hot chocolate was cold. Service was slow and took too long to arrive.,negative,general
Outstanding tiramisu with authentic taste. The service was prompt and professional.,positive,dessert
Love their eggs benedict - Cooked to perfection Great place for breakfast.,positive,general
The chocolate mousse was decent but service was slow. Overall okay experience.,neutral,dessert
Amazing veggie burger with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,burger
Outstanding french onion soup with fresh ingredients. The service was prompt and professional.,positive,soup
The veggie burger was overcooked. Service was slow and was a bit cold.,negative,burger
Excellent eggs benedict! Cooked to perfection Will definitely come back for more.,positive,general
Outstanding wine with perfect seasoning. The service was prompt and professional.,positive,general
Amazing penne pomodoro with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,pasta
Amazing pancakes with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
The avocado toast was decent but service was slow. Overall okay experience.,neutral,bread
The penne pomodoro was decent but was a bit cold. Overall okay experience.,neutral,pasta
Amazing french onion soup with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,soup
Average carbonara for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,pasta
Amazing penne pomodoro with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,pasta
Poor quality coffee. was a bit cold Would not recommend.,negative,coffee
Outstanding french onion soup with fresh ingredients. The service was prompt and professional.,positive,soup
Poor quality avocado toast. service was slow Would not recommend.,negative,bread
Outstanding margherita pizza with great presentation. The service was prompt and professional.,positive,pizza
Excellent croissants! Cooked to perfection Will definitely come back for more.,positive,bread
Good hot chocolate with authentic taste. Service could be improved but food was satisfactory.,neutral,general
Good penne pomodoro with great presentation. Service could be improved but food was satisfactory.,neutral,pasta
The avocado toast was underseasoned. Service was slow and took too long to arrive.,negative,bread
The croissants was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,bread
Love their quinoa salad - Rich and flavorful Great place for dinner.,positive,salad
Average sticky toffee pudding for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,dessert
Excellent pancakes! Cooked to perfection Will definitely come back for more.,positive,dessert
Average sticky toffee pudding for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,dessert
Outstanding sticky toffee pudding with fresh ingredients. The service was prompt and professional.,positive,dessert
Amazing chocolate mousse with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding croissants with authentic taste. The service was prompt and professional.,positive,bread
The coffee was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,coffee
