review,sentiment,dish
Nice ambiance for a casual dinner. The lighting is warm and the music is at the right volume. Food was decent but nothing extraordinary. The chocolate mousse dessert was the highlight of the meal.,neutral,dessert
Outstanding service and food quality! The staff remembered our preferences from previous visits. The seasonal menu changes keep things interesting. The chef even came out to check on our meal. Truly exceptional dining experience.,positive,general
The avocado toast was perfectly seasoned with fresh ingredients. Great presentation and the bread was artisanal quality. Coffee was excellent too. Perfect spot for a healthy breakfast.,positive,coffee
Penne pomodoro was authentic Italian style with rich tomato sauce and fresh basil. Pasta was cooked al dente perfectly. The portion was generous and reasonably priced.,positive,pasta
"Hot chocolate was absolutely divine! Rich, creamy, and the perfect temperature. Best hot chocolate I have had in Coimbatore. The marshmallows were a nice touch.",positive,general
Sticky toffee pudding was incredible! Moist cake with rich toffee sauce and vanilla ice cream. Perfect end to our meal. Definitely coming back just for this dessert.,positive,dessert
Beautiful cozy space with French cafe vibes. The interior design is thoughtful and creates a warm atmosphere. Great for both casual meals and special occasions.,positive,general
Amazing margherita pizza with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,pizza
Love their chocolate lava cake - Cooked to perfection Great place for lunch.,positive,dessert
Excellent chocolate mousse! Fresh and aromatic Will definitely come back for more.,positive,dessert
Amazing veggie burger with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,burger
Good carbonara with generous portion. Service could be improved but food was satisfactory.,neutral,pasta
The pancakes was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,dessert
The avocado toast was decent but portion was small. Overall okay experience.,neutral,bread
The croissants was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,bread
Amazing salmon with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,general
Good pancakes with authentic taste. Service could be improved but food was satisfactory.,neutral,dessert
The tiramisu was decent but portion was small. Overall okay experience.,neutral,dessert
The seafood pasta was decent but service was slow. Overall okay experience.,neutral,pasta
Excellent tiramisu! Rich and flavorful Will definitely come back for more.,positive,dessert
Good hot chocolate with fresh ingredients. Service could be improved but food was satisfactory.,neutral,general
Disappointed with the chicken sandwich. portion was small Expected better quality.,negative,burger
Excellent eggs benedict! Fresh and aromatic Will definitely come back for more.,positive,general
Excellent sticky toffee pudding! Authentic preparation Will definitely come back for more.,positive,dessert
Good eggs benedict with generous portion. Service could be improved but food was satisfactory.,neutral,general
Amazing coffee with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,coffee
The margherita pizza was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pizza
The margherita pizza was decent but was a bit cold. Overall okay experience.,neutral,pizza
Amazing salmon with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,general
Poor quality chocolate mousse. service was slow Would not recommend.,negative,dessert
Disappointed with the carbonara. took too long to arrive Expected better quality.,negative,pasta
The penne pomodoro was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,pasta
Good penne pomodoro with generous portion. Service could be improved but food was satisfactory.,neutral,pasta
Love their penne pomodoro - Fresh and aromatic Great place for family meal.,positive,pasta
Disappointed with the veggie burger. service was slow Expected better quality.,negative,burger
Amazing croissants with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,bread
Excellent margherita pizza! Rich and flavorful Will definitely come back for more.,positive,pizza
The wine was decent but service was slow. Overall okay experience.,neutral,general
Outstanding avocado toast with fresh ingredients. The service was prompt and professional.,positive,bread
The sticky toffee pudding was absolutely delicious! Beautifully presented Highly recommend this place.,positive,dessert
Excellent coffee! Cooked to perfection Will definitely come back for more.,positive,coffee
The veggie burger was too salty. Service was slow and service was slow.,negative,burger
The seafood pasta was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pasta
Good margherita pizza with perfect seasoning. Service could be improved but food was satisfactory.,neutral,pizza
Poor quality pancakes. service was slow Would not recommend.,negative,dessert
Good carbonara with perfect seasoning. Service could be improved but food was satisfactory.,neutral,pasta
Good pancakes with generous portion. Service could be improved but food was satisfactory.,neutral,dessert
Love their chocolate lava cake - Rich and flavorful Great place for date night.,positive,dessert
Excellent tiramisu! Fresh and aromatic Will definitely come back for more.,positive,dessert
The penne pomodoro was absolutely delicious! Beautifully presented Highly recommend this place.,positive,pasta
Outstanding veggie burger with perfect seasoning. The service was prompt and professional.,positive,burger
Good salmon with great presentation. Service could be improved but food was satisfactory.,neutral,general
Average margherita pizza for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,pizza
Amazing carbonara with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,pasta
The chicken sandwich was absolutely delicious! Authentic preparation Highly recommend this place.,positive,burger
Love their penne pomodoro - Rich and flavorful Great place for date night.,positive,pasta
Outstanding coffee with fresh ingredients. The service was prompt and professional.,positive,coffee
The salmon was absolutely delicious! Beautifully presented Highly recommend this place.,positive,general
Average wine for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,general
The pancakes was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
The french onion soup was decent but was a bit cold. Overall okay experience.,neutral,soup
The sticky toffee pudding was decent but was a bit cold. Overall okay experience.,neutral,dessert
Love their penne pomodoro - Cooked to perfection Great place for family meal.,positive,pasta
Love their eggs benedict - Rich and flavorful Great place for family meal.,positive,general
Poor quality wine. was a bit cold Would not recommend.,negative,general
Outstanding carbonara with great presentation. The service was prompt and professional.,positive,pasta
Outstanding chicken sandwich with fresh ingredients. The service was prompt and professional.,positive,burger
Outstanding chocolate mousse with fresh ingredients. The service was prompt and professional.,positive,dessert
The pancakes was underseasoned. Service was slow and portion was small.,negative,dessert
Good coffee with great presentation. Service could be improved but food was satisfactory.,neutral,coffee
The tiramisu was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
Good veggie burger with great presentation. Service could be improved but food was satisfactory.,neutral,burger
Excellent veggie burger! Authentic preparation Will definitely come back for more.,positive,burger
Amazing avocado toast with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,bread
The avocado toast was stale. Service was slow and portion was small.,negative,bread
Amazing hot chocolate with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,general
The seafood pasta was decent but took too long to arrive. Overall okay experience.,neutral,pasta
Outstanding veggie burger with fresh ingredients. The service was prompt and professional.,positive,burger
Love their sticky toffee pudding - Fresh and aromatic Great place for dinner.,positive,dessert
Outstanding veggie burger with generous portion. The service was prompt and professional.,positive,burger
Love their french onion soup - Rich and flavorful Great place for date night.,positive,soup
The avocado toast was decent but was a bit cold. Overall okay experience.,neutral,bread
Excellent seafood pasta! Cooked to perfection Will definitely come back for more.,positive,pasta
Amazing chicken sandwich with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,burger
Excellent penne pomodoro! Beautifully presented Will definitely come back for more.,positive,pasta
The salmon was absolutely delicious! Authentic preparation Highly recommend this place.,positive,general
Amazing seafood pasta with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,pasta
Disappointed with the quinoa salad. took too long to arrive Expected better quality.,negative,salad
Average chocolate mousse for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,dessert
The chocolate mousse was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,dessert
The pancakes was absolutely delicious! Authentic preparation Highly recommend this place.,positive,dessert
Outstanding sticky toffee pudding with authentic taste. The service was prompt and professional.,positive,dessert
Amazing avocado toast with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,bread
Poor quality chocolate lava cake. took too long to arrive Would not recommend.,negative,dessert
Good carbonara with fresh ingredients. Service could be improved but food was satisfactory.,neutral,pasta
The quinoa salad was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,salad
The pancakes was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
Poor quality sticky toffee pudding. took too long to arrive Would not recommend.,negative,dessert
The quinoa salad was absolutely delicious! Beautifully presented Highly recommend this place.,positive,salad
Outstanding quinoa salad with authentic taste. The service was prompt and professional.,positive,salad
The veggie burger was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,burger
The wine was absolutely delicious! Beautifully presented Highly recommend this place.,positive,general
The penne pomodoro was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pasta
Excellent seafood pasta! Fresh and aromatic Will definitely come back for more.,positive,pasta
Outstanding wine with generous portion. The service was prompt and professional.,positive,general
Amazing quinoa salad with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,salad
Amazing seafood pasta with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,pasta
Love their pancakes - Beautifully presented Great place for dinner.,positive,dessert
The hot chocolate was absolutely delicious! Beautifully presented Highly recommend this place.,positive,general
Excellent quinoa salad! Authentic preparation Will definitely come back for more.,positive,salad
The tiramisu was decent but took too long to arrive. Overall okay experience.,neutral,dessert
Love their avocado toast - Cooked to perfection Great place for date night.,positive,bread
The chocolate mousse was stale. Service was slow and service was slow.,negative,dessert
Outstanding penne pomodoro with great presentation. The service was prompt and professional.,positive,pasta
Love their chocolate mousse - Rich and flavorful Great place for lunch.,positive,dessert
Excellent penne pomodoro! Cooked to perfection Will definitely come back for more.,positive,pasta
Average carbonara for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,pasta
Poor quality veggie burger. was a bit cold Would not recommend.,negative,burger
Disappointed with the veggie burger. took too long to arrive Expected better quality.,negative,burger
Outstanding chocolate mousse with generous portion. The service was prompt and professional.,positive,dessert
The carbonara was decent but was a bit cold. Overall okay experience.,neutral,pasta
The salmon was decent but was a bit cold. Overall okay experience.,neutral,general
Poor quality seafood pasta. took too long to arrive Would not recommend.,negative,pasta
Excellent french onion soup! Rich and flavorful Will definitely come back for more.,positive,soup
The pancakes was decent but portion was small. Overall okay experience.,neutral,dessert
Disappointed with the french onion soup. service was slow Expected better quality.,negative,soup
Average avocado toast for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,bread
Excellent wine! Beautifully presented Will definitely come back for more.,positive,general
Good quinoa salad with perfect seasoning. Service could be improved but food was satisfactory.,neutral,salad
Outstanding chicken sandwich with fresh ingredients. The service was prompt and professional.,positive,burger
Average sticky toffee pudding for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,dessert
Love their croissants - Cooked to perfection Great place for date night.,positive,bread
The penne pomodoro was decent but was a bit cold. Overall okay experience.,neutral,pasta
Outstanding coffee with fresh ingredients. The service was prompt and professional.,positive,coffee
Amazing hot chocolate with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,general
Excellent tiramisu! Cooked to perfection Will definitely come back for more.,positive,dessert
Love their margherita pizza - Authentic preparation Great place for breakfast.,positive,pizza
The margherita pizza was decent but was a bit cold. Overall okay experience.,neutral,pizza
The pancakes was absolutely delicious! Beautifully presented Highly recommend this place.,positive,dessert
Disappointed with the avocado toast. portion was small Expected better quality.,negative,bread
Disappointed with the wine. was a bit cold Expected better quality.,negative,general
Poor quality margherita pizza. portion was small Would not recommend.,negative,pizza
Poor quality chocolate lava cake. service was slow Would not recommend.,negative,dessert
Average avocado toast for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,bread
The chocolate mousse was absolutely delicious! Beautifully presented Highly recommend this place.,positive,dessert
Outstanding tiramisu with generous portion. The service was prompt and professional.,positive,dessert
Disappointed with the penne pomodoro. service was slow Expected better quality.,negative,pasta
Excellent chocolate mousse! Beautifully presented Will definitely come back for more.,positive,dessert
Good carbonara with fresh ingredients. Service could be improved but food was satisfactory.,neutral,pasta
The hot chocolate was overcooked. Service was slow and took too long to arrive.,negative,general
Love their chocolate lava cake - Rich and flavorful Great place for family meal.,positive,dessert
The salmon was absolutely delicious! Authentic preparation Highly recommend this place.,positive,general
Love their seafood pasta - Rich and flavorful Great place for brunch.,positive,pasta
Outstanding croissants with authentic taste. The service was prompt and professional.,positive,bread
The veggie burger was decent but took too long to arrive. Overall okay experience.,neutral,burger
Love their salmon - Cooked to perfection Great place for breakfast.,positive,general
Love their carbonara - Cooked to perfection Great place for lunch.,positive,pasta
Excellent chocolate lava cake! Cooked to perfection Will definitely come back for more.,positive,dessert
Outstanding avocado toast with great presentation. The service was prompt and professional.,positive,bread
Average coffee for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,coffee
The pancakes was decent but service was slow. Overall okay experience.,neutral,dessert
Average quinoa salad for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,salad
Good chocolate mousse with generous portion. Service could be improved but food was satisfactory.,neutral,dessert
The wine was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,general
Good veggie burger with great presentation. Service could be improved but food was satisfactory.,neutral,burger
Love their pancakes - Beautifully presented Great place for family meal.,positive,dessert
Average tiramisu for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,dessert
Excellent tiramisu! Rich and flavorful Will definitely come back for more.,positive,dessert
Good margherita pizza with authentic taste. Service could be improved but food was satisfactory.,neutral,pizza
Average penne pomodoro for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,pasta
Amazing tiramisu with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,dessert
Average sticky toffee pudding for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,dessert
Average chicken sandwich for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,burger
The pancakes was cold. Service was slow and portion was small.,negative,dessert
Poor quality avocado toast. service was slow Would not recommend.,negative,bread
The wine was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,general
Love their chocolate lava cake - Rich and flavorful Great place for breakfast.,positive,dessert
Love their carbonara - Cooked to perfection Great place for breakfast.,positive,pasta
The penne pomodoro was decent but portion was small. Overall okay experience.,neutral,pasta
Love their hot chocolate - Fresh and aromatic Great place for family meal.,positive,general
Good sticky toffee pudding with generous portion. Service could be improved but food was satisfactory.,neutral,dessert
The chicken sandwich was too salty. Service was slow and portion was small.,negative,burger
Love their french onion soup - Authentic preparation Great place for breakfast.,positive,soup
Average french onion soup for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,soup
Excellent chicken sandwich! Fresh and aromatic Will definitely come back for more.,positive,burger
The chocolate mousse was absolutely delicious! Authentic preparation Highly recommend this place.,positive,dessert
Outstanding margherita pizza with perfect seasoning. The service was prompt and professional.,positive,pizza
Amazing seafood pasta with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,pasta
Love their margherita pizza - Cooked to perfection Great place for breakfast.,positive,pizza
Amazing carbonara with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,pasta
Excellent croissants! Beautifully presented Will definitely come back for more.,positive,bread
The eggs benedict was decent but was a bit cold. Overall okay experience.,neutral,general
Outstanding croissants with great presentation. The service was prompt and professional.,positive,bread
Love their pancakes - Rich and flavorful Great place for breakfast.,positive,dessert
Amazing avocado toast with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,bread
Poor quality tiramisu. portion was small Would not recommend.,negative,dessert
Love their veggie burger - Rich and flavorful Great place for lunch.,positive,burger
Love their penne pomodoro - Authentic preparation Great place for date night.,positive,pasta
Disappointed with the pancakes. was a bit cold Expected better quality.,negative,dessert
The tiramisu was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
Excellent hot chocolate! Fresh and aromatic Will definitely come back for more.,positive,general
Average eggs benedict for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,general
Excellent carbonara! Authentic preparation Will definitely come back for more.,positive,pasta
Outstanding hot chocolate with perfect seasoning. The service was prompt and professional.,positive,general
Outstanding sticky toffee pudding with perfect seasoning. The service was prompt and professional.,positive,dessert
Outstanding chicken sandwich with authentic taste. The service was prompt and professional.,positive,burger
Disappointed with the chocolate lava cake. was a bit cold Expected better quality.,negative,dessert
Excellent avocado toast! Authentic preparation Will definitely come back for more.,positive,bread
Love their carbonara - Beautifully presented Great place for family meal.,positive,pasta
Amazing tiramisu with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
Love their salmon - Beautifully presented Great place for brunch.,positive,general
Poor quality pancakes. service was slow Would not recommend.,negative,dessert
Poor quality tiramisu. was a bit cold Would not recommend.,negative,dessert
The coffee was cold. Service was slow and took too long to arrive.,negative,coffee
Average pancakes for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,dessert
Average chocolate lava cake for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,dessert
Amazing salmon with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,general
The pancakes was decent but service was slow. Overall okay experience.,neutral,dessert
The margherita pizza was absolutely delicious! Authentic preparation Highly recommend this place.,positive,pizza
Love their margherita pizza - Beautifully presented Great place for breakfast.,positive,pizza
Amazing croissants with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,bread
The hot chocolate was decent but service was slow. Overall okay experience.,neutral,general
Outstanding croissants with fresh ingredients. The service was prompt and professional.,positive,bread
Average eggs benedict for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,general
Love their carbonara - Rich and flavorful Great place for brunch.,positive,pasta
The wine was decent but took too long to arrive. Overall okay experience.,neutral,general
The penne pomodoro was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pasta
Good avocado toast with authentic taste. Service could be improved but food was satisfactory.,neutral,bread
Love their salmon - Beautifully presented Great place for dinner.,positive,general
The seafood pasta was stale. Service was slow and took too long to arrive.,negative,pasta
Love their hot chocolate - Rich and flavorful Great place for lunch.,positive,general
Outstanding veggie burger with great presentation. The service was prompt and professional.,positive,burger
Outstanding seafood pasta with authentic taste. The service was prompt and professional.,positive,pasta
Love their chocolate lava cake - Beautifully presented Great place for lunch.,positive,dessert
Excellent quinoa salad! Fresh and aromatic Will definitely come back for more.,positive,salad
The margherita pizza was decent but service was slow. Overall okay experience.,neutral,pizza
Excellent salmon! Rich and flavorful Will definitely come back for more.,positive,general
Amazing chocolate lava cake with perfect great presentation. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding eggs benedict with perfect seasoning. The service was prompt and professional.,positive,general
Love their carbonara - Rich and flavorful Great place for date night.,positive,pasta
The eggs benedict was underseasoned. Service was slow and service was slow.,negative,general
Love their chocolate mousse - Cooked to perfection Great place for brunch.,positive,dessert
The margherita pizza was decent but service was slow. Overall okay experience.,neutral,pizza
Outstanding salmon with perfect seasoning. The service was prompt and professional.,positive,general
Outstanding hot chocolate with authentic taste. The service was prompt and professional.,positive,general
Good french onion soup with authentic taste. Service could be improved but food was satisfactory.,neutral,soup
The chocolate mousse was absolutely delicious! Authentic preparation Highly recommend this place.,positive,dessert
Love their seafood pasta - Beautifully presented Great place for brunch.,positive,pasta
Excellent seafood pasta! Fresh and aromatic Will definitely come back for more.,positive,pasta
Love their veggie burger - Beautifully presented Great place for breakfast.,positive,burger
Poor quality penne pomodoro. service was slow Would not recommend.,negative,pasta
Love their pancakes - Fresh and aromatic Great place for dinner.,positive,dessert
Poor quality pancakes. was a bit cold Would not recommend.,negative,dessert
Love their penne pomodoro - Cooked to perfection Great place for breakfast.,positive,pasta
Excellent pancakes! Rich and flavorful Will definitely come back for more.,positive,dessert
The chocolate lava cake was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,dessert
The croissants was decent but portion was small. Overall okay experience.,neutral,bread
The salmon was absolutely delicious! Beautifully presented Highly recommend this place.,positive,general
The chocolate lava cake was decent but took too long to arrive. Overall okay experience.,neutral,dessert
The tiramisu was decent but portion was small. Overall okay experience.,neutral,dessert
Excellent croissants! Authentic preparation Will definitely come back for more.,positive,bread
Average hot chocolate for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,general
Outstanding pancakes with perfect seasoning. The service was prompt and professional.,positive,dessert
The chocolate lava cake was decent but was a bit cold. Overall okay experience.,neutral,dessert
Disappointed with the chocolate mousse. portion was small Expected better quality.,negative,dessert
The tiramisu was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,dessert
Outstanding carbonara with fresh ingredients. The service was prompt and professional.,positive,pasta
The carbonara was decent but was a bit cold. Overall okay experience.,neutral,pasta
Average margherita pizza for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,pizza
Amazing quinoa salad with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,salad
Amazing penne pomodoro with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,pasta
Outstanding chicken sandwich with fresh ingredients. The service was prompt and professional.,positive,burger
Disappointed with the chocolate mousse. took too long to arrive Expected better quality.,negative,dessert
The sticky toffee pudding was decent but took too long to arrive. Overall okay experience.,neutral,dessert
Love their salmon - Fresh and aromatic Great place for family meal.,positive,general
Love their penne pomodoro - Authentic preparation Great place for dinner.,positive,pasta
The avocado toast was absolutely delicious! Authentic preparation Highly recommend this place.,positive,bread
Amazing hot chocolate with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,general
Outstanding salmon with perfect seasoning. The service was prompt and professional.,positive,general
Excellent chicken sandwich! Fresh and aromatic Will definitely come back for more.,positive,burger
The chocolate lava cake was absolutely delicious! Fresh and aromatic Highly recommend this place.,positive,dessert
Outstanding wine with generous portion. The service was prompt and professional.,positive,general
The wine was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,general
Love their margherita pizza - Fresh and aromatic Great place for date night.,positive,pizza
The french onion soup was stale. Service was slow and portion was small.,negative,soup
The eggs benedict was cold. Service was slow and service was slow.,negative,general
Disappointed with the margherita pizza. service was slow Expected better quality.,negative,pizza
The quinoa salad was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,salad
Love their sticky toffee pudding - Beautifully presented Great place for lunch.,positive,dessert
Love their chocolate mousse - Authentic preparation Great place for dinner.,positive,dessert
Amazing eggs benedict with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,general
The hot chocolate was decent but took too long to arrive. Overall okay experience.,neutral,general
Poor quality wine. portion was small Would not recommend.,negative,general
Average veggie burger for the price. Authentic preparation Nothing extraordinary but not bad either.,neutral,burger
Outstanding wine with perfect seasoning. The service was prompt and professional.,positive,general
Amazing tiramisu with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,dessert
Love their carbonara - Cooked to perfection Great place for brunch.,positive,pasta
Excellent hot chocolate! Rich and flavorful Will definitely come back for more.,positive,general
Love their penne pomodoro - Fresh and aromatic Great place for date night.,positive,pasta
Disappointed with the chocolate lava cake. portion was small Expected better quality.,negative,dessert
Average avocado toast for the price. Cooked to perfection Nothing extraordinary but not bad either.,neutral,bread
Disappointed with the quinoa salad. was a bit cold Expected better quality.,negative,salad
The chocolate lava cake was decent but service was slow. Overall okay experience.,neutral,dessert
Average hot chocolate for the price. Fresh and aromatic Nothing extraordinary but not bad either.,neutral,general
The eggs benedict was decent but service was slow. Overall okay experience.,neutral,general
Average hot chocolate for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,general
Good avocado toast with generous portion. Service could be improved but food was satisfactory.,neutral,bread
Poor quality carbonara. was a bit cold Would not recommend.,negative,pasta
Amazing chocolate mousse with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,dessert
The penne pomodoro was absolutely delicious! Cooked to perfection Highly recommend this place.,positive,pasta
Good quinoa salad with perfect seasoning. Service could be improved but food was satisfactory.,neutral,salad
Amazing veggie burger with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,burger
Amazing quinoa salad with perfect authentic taste. The staff was friendly and the atmosphere was cozy.,positive,salad
The margherita pizza was decent but portion was small. Overall okay experience.,neutral,pizza
Outstanding chocolate mousse with great presentation. The service was prompt and professional.,positive,dessert
Outstanding eggs benedict with fresh ingredients. The service was prompt and professional.,positive,general
Excellent veggie burger! Authentic preparation Will definitely come back for more.,positive,burger
Good penne pomodoro with authentic taste. Service could be improved but food was satisfactory.,neutral,pasta
Outstanding tiramisu with perfect seasoning. The service was prompt and professional.,positive,dessert
Excellent penne pomodoro! Rich and flavorful Will definitely come back for more.,positive,pasta
Love their avocado toast - Authentic preparation Great place for dinner.,positive,bread
The seafood pasta was absolutely delicious! Beautifully presented Highly recommend this place.,positive,pasta
Love their veggie burger - Authentic preparation Great place for dinner.,positive,burger
Outstanding margherita pizza with perfect seasoning. The service was prompt and professional.,positive,pizza
Love their sticky toffee pudding - Beautifully presented Great place for lunch.,positive,dessert
Average salmon for the price. Rich and flavorful Nothing extraordinary but not bad either.,neutral,general
Amazing chocolate mousse with perfect fresh ingredients. The staff was friendly and the atmosphere was cozy.,positive,dessert
Outstanding avocado toast with fresh ingredients. The service was prompt and professional.,positive,bread
The margherita pizza was absolutely delicious! Beautifully presented Highly recommend this place.,positive,pizza
Love their chicken sandwich - Beautifully presented Great place for dinner.,positive,burger
The salmon was decent but portion was small. Overall okay experience.,neutral,general
Good avocado toast with perfect seasoning. Service could be improved but food was satisfactory.,neutral,bread
The salmon was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,general
Average salmon for the price. Beautifully presented Nothing extraordinary but not bad either.,neutral,general
Love their chicken sandwich - Cooked to perfection Great place for lunch.,positive,burger
Amazing coffee with perfect generous portion. The staff was friendly and the atmosphere was cozy.,positive,coffee
The hot chocolate was decent but took too long to arrive. Overall okay experience.,neutral,general
The hot chocolate was decent but service was slow. Overall okay experience.,neutral,general
The french onion soup was decent but portion was small. Overall okay experience.,neutral,soup
Excellent carbonara! Beautifully presented Will definitely come back for more.,positive,pasta
Outstanding wine with authentic taste. The service was prompt and professional.,positive,general
The chocolate mousse was underseasoned. Service was slow and portion was small.,negative,dessert
Amazing veggie burger with perfect perfect seasoning. The staff was friendly and the atmosphere was cozy.,positive,burger
The tiramisu was overcooked. Service was slow and was a bit cold.,negative,dessert
Good hot chocolate with perfect seasoning. Service could be improved but food was satisfactory.,neutral,general
The margherita pizza was absolutely delicious! Rich and flavorful Highly recommend this place.,positive,pizza
